"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"BOULDER","Powerline","Donner Summit","White Lines","Tahoe (CA)","US","2019-06-01T12:00:00Z","rp",,"5","0","35","null","7C",,"backlog. took a few sessions. fired it after watching Kieran float it. awesome squeezer. underrated.","null","0","null"
"BOULDER","Golden Eagle Sit","Rainbow","Unknown Sector","Tahoe (CA)","US","2019-06-01T12:00:00Z","rp",,"5","0","35","null","7C",,"backlog. loved this one. one of the best of the grade in tahoe.","null","0","null"
"BOULDER","Wicked","Mt tam","ravine",,"US","2019-06-01T12:00:00Z","rp",,"4","0","35","null","7C",,"backlog. 3rd v9 i think.","null","0","null"
"BOULDER","Campus Girlz","Mt tam","lakeview",,"US","2019-06-01T12:00:00Z","rp",,"4","0","35","null","7B+",,"backlog. bikes is all i remember.","null","0","null"
"BOULDER","Campfire Arête Sit","Boreal","Unknown Sector","Tahoe (CA)","US","2019-06-01T12:00:00Z","rp",,"5","0","35","null","7B+",,"backlog. did it with the worst leg cramp ive ever experienced. literally could barely stand up moments before i sent. jugs on jugs.","null","0","null"
"BOULDER","Maximum Overdrive","Boreal","Unknown Sector","Tahoe (CA)","US","2019-06-01T12:00:00Z","rp",,"5","0","35","null","7B+",,"backlog. All I remember it was hot as hell.","null","0","null"
"BOULDER","Down Syndrome","Castle Peak","Lower Castle","Tahoe (CA)","US","2019-06-30T12:00:00Z","rp",,"5","0","100","null","7C",,"hard. really big huck. even pulling on and hitting the first move was tough. small feet, pasting, powerful. really quality problem.","null","0","null"
"BOULDER","Flyan Mayan","Toltec Boulder","Unknown Sector","Tahoe (CA)","US","2019-06-30T12:00:00Z","rp",,"3","0","35","null","7A+",,"sloper lip traverse. gotta keep sliding the left heel up. committing move for the finish.","null","0","null"
"BOULDER","Whale's Tail","Lover's Leap","Unknown Sector","Tahoe (CA)","US","2019-07-01T00:00:00Z","rp",,"4","0","100","null","7C",,"felt hard. everyone says it’s soft, i found it damn hard. landing is dicey, bring lads.","null","1","null"
"BOULDER","Girls on Film Sit","Summit Lake","Unknown Sector","Tahoe (CA)","US","2019-07-07T00:00:00Z","rp",,"4","0","100","null","7C",,"little pause hold on the v7 dyno made it much easier.","null","1","null"
"BOULDER","Pimp Juice","Pie Shop","Unknown Sector","Tahoe (CA)","US","2019-08-01T00:00:00Z","rp",,"4","0","35","null","7C",,"worth the hike!","null","1","null"
"BOULDER","Slam Dunk","Castle Peak","Middle Castle","Tahoe (CA)","US","2019-08-01T00:00:00Z","rp",,"4","0","35","null","7A+",,"harder than drunk with power! really fun. classic for sure.","null","1","null"
"BOULDER","Nazgul Mid","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-08-31T12:00:00Z","rp",,"4","0","35","null","7C",,"backlog. epic send with Josh + Michal. Determined to nab that low start this year!","null","0","null"
"BOULDER","Practical Demon Keeping","Caple's Lake","Unknown Sector","Tahoe (CA)","US","2019-08-31T12:00:00Z","rp",,"3","0","30","null","7B+",,"solo sesh. last Tahoe trip for the year. mega soft, felt v7. kinda aesthetic but felt underwhelming.","null","0","null"
"BOULDER","Golden Bullet","Toltec Boulder","Unknown Sector","Tahoe (CA)","US","2019-08-31T12:00:00Z","rp",,"3","0","100","null","7C+",,"fun movement","null","0","null"
"BOULDER","Space Cowboy","Lost In Space","Unknown Sector","Tahoe (CA)","US","2019-10-05T12:00:00Z","rp",,"3","0","25","null","7B+",,"using big jug out left seems soft. I didnt use it,  making it slightly tougher. still did not feel v9.","null","0","null"
"BOULDER","Bodhi","Coldstream Canyon","Upper Tier","Tahoe (CA)","US","2019-10-08T00:00:00Z","rp",,"3","0","35","null","7B+",,"backfilling old sends because I don't have shit to do with Covid lockdown. Camped out in the middle of nowhere with Vishaal. cold as fuck all night. endless hiking but fun line for sure. big moves on good holds. easy money.","null","0","null"
"BOULDER","Tin Can Alley","Coldstream Canyon","Unknown Sector","Tahoe (CA)","US","2019-10-09T00:00:00Z","rp",,"3","0","35","null","7A+",,"Did this at some point last year. Same hard first move as bomb threat I believe? Good climb.","null","0","null"
"BOULDER","Hobo","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-10-10T00:00:00Z","rp",,"3","0","35","null","7B+",,"backfill. 2nd trip to saddle, with vishaal and demart. easier than midnight train.","null","0","null"
"BOULDER","PJ Tight","Pie Shop","Unknown Sector","Tahoe (CA)","US","2019-10-14T12:00:00Z","rp",,"3","0","35","null","7A+",,"good movement, probably v7.","null","0","null"
"BOULDER","Midnight Train","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-10-15T12:00:00Z","rp",,"4","0","35","null","7B+",,"one of the best lines in tahoe. first time to saddle with sera, amy, kyle, and crew.","null","1","null"
"BOULDER","American Gladiator","Pie Shop","Unknown Sector","Tahoe (CA)","US","2019-10-15T12:00:00Z","rp",,"3","0","35","null","7B+",,"good movement, probably v7.","null","0","null"
"BOULDER","Nietzsche Girls","Saddle Boulders","Unknown Sector","Tahoe (CA)","US","2019-10-16T00:00:00Z","rp",,"1","0","35","null","7C",,"my least favorite line on the block.","null","0","null"
"BOULDER","All Mods Con","Brickyard","Unknown Sector",,"US","2019-10-16T12:00:00Z","rp",,"2","0","35","null","7B+",,"backlog. soft.","null","0","null"
"BOULDER","Powerline","Donner Summit","White Lines","Tahoe (CA)","US","2019-10-17T00:00:00Z","rp",,"3","0","35","null","7C",,"took a whipper once with vishaal and hit my head on a rock. ouch. came back and sent with kiernan and demart. i found it pretty hard.","null","0","null"
"BOULDER","Mr. Witty","Brickyard","Unknown Sector",,"US","2019-10-23T12:00:00Z","rp",,"0","0","35","null","7B+",,"backlog. proper v7. good climb.","null","0","null"
"BOULDER","Skin O' My Teeth","Santa Barbara","west nile boulder",,"US","2019-12-01T12:00:00Z","rp",,"1","0","null","null","7A+",,"backlog. soft. meh.","null","0","null"
"BOULDER","Dancing Outlaw","Brickyard","Yeti Sector",,"US","2019-12-18T00:00:00Z","rp",,"3","0","35","null","7B+",,"backlog.","null","0","null"
"BOULDER","First come first served","Santa Barbara","The Creamery",,"US","2019-12-31T12:00:00Z","rp",,"3","0","35","null","7B+",,"did not feel v10. much easier than countdown for me. frankly, easier than whiskey and success. maybe it suited me?","null","0","null"
"BOULDER","She Made Me Do It","Skofield Park","Le Fissure Boulder",,"US","2019-12-31T12:00:00Z","rp",,"5","0","100","null","7C",,"probably the only traverse i’ll ever give 5 stars. i wasn’t stoked on this one, because i don’t enjoy traverses. until i saw it. it is mega. all time. one of the best in SB. incredible.","null","1","null"
"BOULDER","All Mod Cons","Santa Barbara","Brickyard",,"US","2020-01-01T00:00:00Z","rp",,"3","0","35","null","7C",,"don’t remember much other than some high feet to get over the slab. felt easier than mr witty.","null","0","null"
"BOULDER","Whiskey and success","Santa Barbara","The Creamery",,"US","2020-01-01T00:00:00Z","rp",,"3","0","35","null","7C",,"underrated sloper line. fun.","null","0","null"
"BOULDER","Countdown to Extinction","Santa Barbara","west nile boulder",,"US","2020-01-01T00:00:00Z","rp",,"3","0","100","null","7C",,"did it sans knee bar. really enjoyed the tricky heel. tough.","null","0","null"
"BOULDER","Bridalveil Pogo","Bridalveil","Unknown Sector","Yosemite (CA)","US","2020-01-01T00:00:00Z","rp",,"4","0","100","null","7A+",,"classic.","null","1","null"
"BOULDER","purgatory","Brickyard","Unknown Sector",,"US","2020-01-01T00:00:00Z","rp",,"4","0","25","null","7C",,"If you have dancing outlaw dialed, just a matter of span and endurance.","null","1","null"
"BOULDER","The Octagon","Cathedral Boulders","Unknown Sector","Yosemite (CA)","US","2020-01-01T12:00:00Z","rp",,"4","0","35","null","7A",,"Backlog. Battled a 100+ degree fever on this one. Good times with K$.","null","0","null"
"BOULDER","Sungazer Sit","Sugarloaf Ridge","sunrise",,"US","2020-01-01T12:00:00Z","rp",,"2","0","35","null","7C+",,"Backlog. 2nd ascent of a Kevin Jorgenson FA. Sharp, hard, technical.","null","0","null"
"BOULDER","Sun God","Sugarloaf Ridge","Unknown Sector",,"US","2020-01-01T12:00:00Z","rp",,"2","0","35","null","7A",,"backlog. From the low left side of the boulder. not the best rock, but fun movement. i remember it was a good consolation prize for vishaal and I after columbia college got rained out.","null","0","null"
"BOULDER","Sungazer","Sugarloaf Ridge","Unknown Sector",,"US","2020-01-01T12:00:00Z","rp",,"2","0","35","null","7A",,"Backlog. Meh rock, fun climbing. Good day with Vishaal.","null","0","null"
"BOULDER","Stream of Being","Highway 140","Unknown Sector","Yosemite (CA)","US","2020-01-31T12:00:00Z","rp",,"4","0","35","null","7A+",,"cool gaston movement. beautiful setting.","null","0","null"
"BOULDER","Flatline","Housekeeping","Unknown Sector","Yosemite (CA)","US","2020-02-01T00:00:00Z","rp",,"5","0","35","null","7B+",,"terrifying.","null","1","null"
"BOULDER","Changing Corners","Candyland","Unknown Sector","Yosemite (CA)","US","2020-02-01T00:00:00Z","rp",,"5","0","35","null","7B+",,"very subtle. good beta is everything on this one.","null","1","null"
"BOULDER","Atlantis","Highway 140","Unknown Sector","Yosemite (CA)","US","2020-02-01T00:00:00Z","rp",,"5","0","35","null","7A",,"classic. did a slightly lower start for more fun.","null","1","null"
"BOULDER","The Rift","Unknown Boulder","Crumbs","Yosemite (CA)","US","2020-02-01T00:00:00Z","rp",,"5","0","25","null","7B+",,"Felt heady. 4 pads is nice. Took a bunch of falls sorting out the top section. Amazing line.","null","0","null"
"BOULDER","No Holds Bard","Sentinel Boulders","Unknown Sector","Yosemite (CA)","US","2020-02-01T00:00:00Z","rp",,"4","0","30","null","7A+",,"Managed to tick with a 100+ fever. Amazing climb. felt brutal that day. fun times with Karsten + Andrea.","null","1","null"
"BOULDER","broken heart","occidental","Boho",,"US","2020-03-01T00:00:00Z","rp",,"5","0","35","null","7B+",,"start on left arete, technical undercling sequence into boho face. amazing line, FA Chris Summit. 2nd ascent Chuck B in 2005. went 15 years without a 3rd!","null","1","null"
"BOULDER","Ultimate Trogdor","Columbia College","Lower Arb",,"US","2020-03-06T00:00:00Z","rp",,"3","0","25","null","7B+",,"Thuggy. landing isn't great. 4 pads is nice.","null","0","null"
"BOULDER","broken heart","boho boulder","Unknown Sector",,"US","2020-04-01T00:00:00Z","rp",,"5","0","35","null","7B+",,"3rd ascent? an amazing line from chris summit.","null","1","null"
"BOULDER","Hellspawn","Putah Creek","Unknown Sector",,"US","2020-04-28T00:00:00Z","rp",,"4","0","100","null","7A+",,"Hard first move. Went with a high left foot and low right foot. Stout for me (morpho?).","null","0","null"
"BOULDER","Wild Turkey","occidental","Unknown Sector",,"US","2020-04-28T12:00:00Z","rp",,"4","0","35","null","7A+",,"classic.","null","1","null"
"BOULDER","King Cobra","Camp 4","Unknown Sector","Yosemite (CA)","US","2020-04-29T00:00:00Z","rp",,"5","0","35","null","7B+",,"unique feature. really a proud send for
me. thankful for all the lessons the valley has given me.","null","1","null"
"BOULDER","100 proof","occidental","wild turkey",,"US","2020-04-29T00:00:00Z","rp",,"3","0","35","null","7B+",,"2nd ascent. FA Keegan Williams. straightforward crimping into a committing final throw.","null","0","null"
"BOULDER","Honor Among Thieves","Camp 4","Unknown Sector","Yosemite (CA)","US","2020-04-29T00:00:00Z","rp",,"3","0","35","null","7B+",,"hard left hand crimp move. fun problem.","null","0","null"
"BOULDER","Respawn","Putah Creek","Purgatory Boulder",,"US","2020-04-30T12:00:00Z","rp",,"3","0","35","null","7C",,"backlog. First Ascent. i thought 7c+ but perhaps only 7c as chris suggested. cool movement. power tech on slippery feet. looks like Milo nabbed the lower start. shoutout to mike d for the inspiration.","null","0","null"
"BOULDER","Pass The Dutchie","Dutch Bill","Unknown Sector",,"US","2020-05-07T12:00:00Z","rp",,"3","0","100","null","7B+",,"","null","0","null"
"BOULDER","Forest'villian","occidental","New Bohemia",,"US","2020-05-17T00:00:00Z","rp",,"4","0","35","null","7A+",,"amazing problem. Captures so many varied styles: arete hugging, technical heel, camps, tough topout, slab....the top isn’t tough but when you get up there after the hard moves and have to keep it together at the end, pretty tight.","null","1","null"
"BOULDER","Extra Testi","occidental","New Bohemia",,"US","2020-05-17T00:00:00Z","rp",,"4","0","35","null","7B+",,"best at the grade in norcal? epic dyno over a bad landing. did it from the lower right start, adding a gaston move. didn’t add much. Keegan really found something special with this one. phenomenal.","null","1","null"
"BOULDER","The Hunger","Tombstone Rock","Unknown Sector",,,"2020-05-17T00:00:00Z","rp",,"2","0","35","null","7A+",,"quality rock. get off that tiny left hand crimper asap. cool gaston move. quality heel hook and big throw at the end. not super aesthetic, but movement is rad.","null","0","null"
"BOULDER","heartache","occidental","Boho",,"US","2020-05-29T00:00:00Z","rp",,"5","0","35","null","7B+",,"FA. right exit from boho face start. big move off tiny left hand pinch to the sloper below the lip.","null","1","null"
"BOULDER","agony","occidental","Boho",,"US","2020-05-29T00:00:00Z","rp",,"5","0","100","null","7C+",,"FA. broken heart entrance into heartache. a major milestone for me.","null","1","null"
"BOULDER","Piano Man","Sugarloaf Ridge","Unknown Sector",,"US","2020-05-30T00:00:00Z","rp",,"2","0","35","null","7A+",,"bumped farther right to a small crimp below the left hand crack, thereby avoiding the piano match.","null","0","null"
"BOULDER","Happy Birthday","Super Slab","Unknown Sector",,"US","2020-06-01T12:00:00Z","rp",,"4","0","35","null","7A+",,"backlog. did this at some point during the summer of covid. ask K$ he was there.","null","0","null"
"BOULDER","Bound by tension","Mickey's Beach","Danger Boulder",,"US","2020-06-03T00:00:00Z","rp",,"4","0","100","null","7B+",,"Felt v8/9 to me. Fun movement.","null","0","null"
"BOULDER","Wheel Well","Mickey's Beach","Orange buddha boulder",,"US","2020-06-03T00:00:00Z","rp",,"2","0","30","null","7A",,"","null","0","null"
"BOULDER","Ganesh","Pomo","Unknown Sector",,"US","2020-06-06T12:00:00Z","rp",,"3","0","100","null","7B+",,"slopey crimps. not my strength. hard for me. took me several hours to latch the dyno. thank god i could use the lower foot for the first move, top foot felt hard (not to mention the heinous feet swap).","null","0","null"
"BOULDER","Scott's Arete","Grizzly Peak","Main Boulder","California","US","2020-06-13T00:00:00Z","rp",,"3","0","35","null","7A+",,"from the sit. i thought v7. felt easy to dyno, so i latched the crux with a heel. fun climbing. pretty good local boulder. movement is great. only downside is the sharpness. good times the Nealsen and Vishaal.","null","0","null"
"BOULDER","Battle ship","Cazadero","Unknown Sector",,"US","2020-06-15T12:00:00Z","rp",,"4","0","35","null","7A+",,"amazing rock. wonderful climb.","null","1","null"
"BOULDER","Hijacked","Cazadero","Unknown Sector",,"US","2020-06-15T12:00:00Z","rp",,"4","0","35","null","7B+",,"one of my favorite crimp lines. awesome drop knee. one of the best ever at the grade. ending moves are tough off crimps and tiny undercling. physical crux is coming out of the roof. high tension.","null","1","null"
"BOULDER","way of the wah","Mickey's Beach","Unknown Sector",,"US","2020-06-18T00:00:00Z","rp",,"2","0","100","null","7B+",,"80 degrees @ the beach made the holds semi dry. had to use a tiny right toe + left toe hook instead of the usual extended slick heel (morpho?). managed to send without a single cut. vishaal found some good beta with an undercling to bypass the final lurch. mediocre climb, but a slippery and goopy right of passage for a bay area climber. proud send. wet.","null","0","null"
"BOULDER","Scott's Traverse","Grizzly Peak","Unknown Sector","California","US","2020-06-21T00:00:00Z","rp",,"3","0","35","null","7B+",,"from the sit. felt solid v8. very sharp. vishaal sent the stand, while i held my fan to the crux hold to cool it. he claims it helped? sick undercling sequence. secret is to release the left thumb and do a funky wrist press crimp thing to shift cog to the left. i scummed my right foot closer as well before i threw for the pocket. good one. scott’s roof is next!","null","1","null"
"BOULDER","Living a Nightmare","Fort Ross","Unknown Sector",,"US","2020-06-25T12:00:00Z","rp",,"5","0","35","null","7B+",,"good times with Karsten. On the harder end for v7 if you ask me. From the sit start, doesn't add much. Heady final section. Gotta go back for relentless!! ","null","1","null"
"BOULDER","Fort Rosstafarian","Fort Ross","Fort Ross",,"US","2020-06-25T12:00:00Z","rp",,"5","0","35","null","7B+",,"From the sit start. Hard!! Sweet deadpoint move. Harder than living a nightmare, id say v7/8. Might be a bit easier if taller, but hard to say. Pure, hard, powerful, crimpy. I can see why everyone raves about this one. All time. Full 5 stars. Thanks for the spot Karsten!","null","1","null"
"BOULDER","Asian Invasion","Indian Rock","Unknown Sector","Castle Rocks (ID)","US","2020-06-27T12:00:00Z","rp",,"2","0","100","null","7B+",,"topout isn’t bad once you dial it. none of the intermediate moves are too tough. the first move is terribly hard. maybe it’s easier with the far left heel beta? i did the right heel. really gotta figure out how to weight that heel and latch the sloper/pinch. key for me was shifting my COG to the right, hanging under the heel. Nealsen tweaked his finger, but a good day with him and Vishaal nonetheless. glad to never have to go back down there. makes a case for hardest 7 i’ve ever climbed.","null","0","null"
"BOULDER","Blue Steel","Unknown Crag","Unknown Sector","Castle Rocks (ID)","US","2020-06-28T00:00:00Z","rp",,"3","0","35","null","7A+",,"fun, gymnastic climbing. beautiful feature, proud looking line. cut foot swing move is rad. take the shorter approach (turn right at bottom of stairs!). neat lesser known zone at castle. fun times with nealsen and vishaal.","null","0","null"
"BOULDER","Dark Side of the Moon","Indian Rock","Unknown Sector","Castle Rocks (ID)","US","2020-06-28T00:00:00Z","rp",,"3","0","35","null","7A+",,"meh. good holds. soft. mediocre.","null","0","null"
"BOULDER","Scott's Roof","Grizzly Peak","Unknown Sector","California","US","2020-06-30T00:00:00Z","rp",,"3","0","35","null","7A+",,"critical beta is flipping the right hand in the undercling. not sure how the bulge was originally navigated, but i did a dyno to a hold out right, then topped out upward. also possible to escape rightwards after dyno, but i did the slightly more challenging (aka chossy/sketchy) upward exit. sharp and painful, but fun movement.","null","0","null"
"BOULDER","Ginsu","The Depot","Unknown Sector",,"US","2020-07-07T00:00:00Z","rp",,"3","0","35","null","7A+",,"Thank god brent showed up with the crucial beta. first day in bend was rad. bullet rock, beautiful riverside setting, amazing spot for the family. memorable.","null","0","null"
"BOULDER","The Wizard","The Depot","Unknown Sector",,"US","2020-07-07T00:00:00Z","rp",,"5","0","5","null","7A+",,"one of the best at the grade.","null","1","null"
"BOULDER","Soul Train","Meadow Camp","Unknown Sector",,"US","2020-07-08T00:00:00Z","rp",,"4","0","35","null","7B+",,"epic session with Brent. Took a midday brake to avoid the brutal sun, and came back for the afternoon send. followed by some good grub at spork with the whole gang. special to nab this one with the whole squad in tow. i’m in love with Bend! sharp but so good!!

critical beta for me was to pinch as many of the pockets as possible. i’m new to the pocket game, and thumbs made terrible drag holds into decent half crimps.","null","1","null"
"BOULDER","Ground Chuck","Meadow Camp","Snail Trail Zone",,"US","2020-07-08T00:00:00Z","rp",,"3","0","35","null","6C",,"sharp! banger little dyno. fun at the grade.","null","0","null"
"BOULDER","Ice Age","Whychus Creek","Ice Age Area",,"US","2020-07-08T12:00:00Z","rp",,"4","0","35","null","7A+",,"fun one. listed as v8, felt v7. quality line. good sloper traverse, heel hooks, underclings. one power move, and a non trivial topout. Good times with Brent.","null","1","null"
"BOULDER","Mastedon","Whychus Creek","Unknown Sector",,"US","2020-07-09T00:00:00Z","rp",,"3","0","35","null","7B+",,"did a campus start without the tiny roof foot. key was to place the right hand in more of a down pull in the corner rather than sidepull, and meat wrap the left hand. cool undercling move off bad feet. heady topout but there were some ticks which helped big time. Brent came up huge. he couldn’t climb much due to a tweaked bicep, but he suggested all the beta tweaks and provided good spotting and support on the top section.","null","0","null"
"BOULDER","420","Whychus Creek","Unknown Sector",,"US","2020-07-09T00:00:00Z","rp",,"4","0","35","null","7A+",,"so good! one of the best at the grade. all in the crystal right thumb pinch and really pushing with the right foot. amazing. thanks to Trevor and Brent for showing me around!","null","1","null"
"BOULDER","The Hatchet","Whychus Creek","Unknown Sector",,"US","2020-07-09T00:00:00Z","rp",,"3","0","35","null","7A+",,"4-20 was harder for me! but a good climb in its own right. ","null","0","null"
"BOULDER","Right Arete","The Depot","Unknown Sector",,"US","2020-07-10T00:00:00Z","rp",,"4","0","35","null","7B+",,"aka red moon. compression crimp line. powerful. some good intermediates helped on the move to the horizontal. one of the best at the depot. homie brent on the spot. first trip to bend comes to a close. the rack next time!!","null","1","null"
"BOULDER","Bloody Knuckles","The Depot","Unknown Sector",,"US","2020-07-11T00:00:00Z","rp",,"2","0","35","null","6C",,"hard at v5. i had the key beta from brent, and even then it was tough. left finger pinky cam in the low slot turns the sidepull into a downpull. one move wonder.","null","0","null"
"BOULDER","Pee Wees Lil Adventure","Mt tam","Unknown Sector",,"US","2020-07-12T12:00:00Z","rp",,"2","0","35","null","7A+",,"quality rock. fun volume.","null","0","null"
"BOULDER","Slither","Cazadero","The Stigmata Boulder",,"US","2020-07-18T00:00:00Z","rp",,"5","0","35","null","7A+",,"special day with Chris. memorable sends on stripe and slither. amazing v7, one of the best i’ve touched.

heel hooks, crimps, dicey topout. wonderful climb. slot crimp section was tough for me. a very memorable and landmark tick for me. walking under stigmata was awe inspiring, hopefully someday i am fortunate enough to pull on the other hard lines.

thankful!","null","1","null"
"BOULDER","stripe","Cazadero","snaggletooth",,"US","2020-07-19T00:00:00Z","rp",,"5","0","35","null","7A",,"fun mini highball. chris and i made up some fun alternative starts: from the big left jug, from the low undercling crack match, and a sit from some low crimps.

in terms of rock and aesthetics, as good as it gets. beautiful boulder.","null","1","null"
